premise,hypothesis,label
"['britains', 'bestselling', 'tabloid', 'sun', 'announced', 'frontpage', 'world', 'exclusive', 'friday', 'texan', 'model', 'jerry', 'hall', 'started', 'divorce', 'proceedings', 'aging', 'rock', 'star', 'mick', 'jagger', 'high', 'court', 'london']","['sun', 'makes', 'millions', 'every', 'year', 'fake', 'news']",1
"['savonarola', 'burned', 'florence']","['florence', 'became', 'savonarolas', 'new', 'home']",2
['colossal'],['gigantic'],0
"['says', 'men']","['said', 'men']",2
"['yeah', 'uhhuh', 'oh', 'yeah', 'petting', 'zoos', 'things']","['yes', 'petting', 'things']",0
"['almost', 'midtown', 'massabielle', 'quarter', 'faubourg', 'de', 'massabielle', 'sometimes', 'described', 'picturesque', 'city']","['massabielle', 'quarter', 'considered', 'photogenic']",0
"['4', 'enough', 'known', 'nontransportation', 'costs', 'vary', 'distance']","['ways', 'distance', 'affects', 'nontransportation', 'costs', 'subject', 'dont', 'enough', 'information']",0
"['surprised', 'though', 'many', 'politics']","['surprised', 'many', 'politics']",2
"['draft', 'treaty', 'tommys', 'bait']","['treaty', 'bait', 'tommy']",2
"['therefore', 'number', 'boilermakers', 'may', 'actually', 'grow', 'quickly', 'assumed']","['number', 'boil', 'makers', 'decrease', 'drastically', 'expected']",2
"['long', 'assad', 'lives', 'manage', 'troubles', 'keep', 'agreement', 'israel']","['long', 'assad', 'doesnt', 'die', 'able', 'take', 'care', 'troubles']",0
"['four', 'javis', 'children', 'asked', 'severn']","['severn', 'knows', 'everything', 'jarvis', 'children']",1
"['brain', 'refusing', 'command', 'properly']","['brain', 'commanding', 'properly']",0
"['girl', 'writes', 'little', 'farewell', 'activity', 'didnt', 'fare', 'well', 'eh', 'chortled']","['farewell', 'activity', 'didnt', 'go', 'well']",0
['walk'],"['need', 'pass', 'foot']",0
"['exclaimed', 'astonished']","['cried', 'shock']",0
"['bauerstein', 'styles', 'fatal', 'night', 'added', 'said', 'twice', 'alters', 'everything', 'ive', 'thinking']","['styles', 'responsible', 'happened']",1
"['long', 'agoor', 'away', 'whateverthere', 'world', 'called', 'thar', 'another', 'called', 'erath']","['erath', 'world', 'ever', 'existed']",2
"['time', 'spill', 'vase', 'mrs', 'inglethorps', 'bedroom', 'noses', 'cried']","['hidden', 'another', 'country', 'impossible', 'us', 'locate']",2
"['always', 'pay', 'someone', 'else', 'cutting', 'fertilize', 'um', 'edge', 'um', 'think', 'year', 'im', 'going', 'landscaping', 'put']","['never', 'developed', 'love', 'gardening']",1
"['gets', 'little', 'obsessive', 'sauce']","['sauce', 'complicated', 'shes', 'obsessed', 'perfecting', 'ingredient']",1
"['rather', 'kids', 'today', 'little', 'bundles', 'joy', 'also', 'perhaps', 'ultimate', 'symbols', 'worldly', 'success', 'status']","['kids', 'today', 'symbols', 'success', 'status', 'parents']",1
"['chinas', 'civil', 'war', 'sent', 'distressing', 'echoes', 'hong', 'kong']","['japan', 'fought', 'civil', 'war']",2
"['seven', 'grants', 'flow', 'new', 'nonprofit', 'capacity', 'building', 'program', 'foundation', 'part', 'trend', 'among', 'philanthropists', 'give', 'money', 'help', 'organizations', 'grow', 'stronger', 'rather', 'program', 'services', 'provide']","['grants', 'flow', 'nonprofit', 'capacity', 'building', 'program', 'foundation', 'exemplifying', 'trend', 'among', 'philanthropists', 'give', 'money', 'grow', 'organizations', 'take']",1
"['eligibility', 'could', 'restricted', 'already', 'pregnant', 'least', 'sexually', 'active', 'age', '13', 'age', '21', 'combination', 'thereof']","['age', 'consent', 'age', '21', 'well']",1
"['respect', 'bringing', 'steve', 'jobs', 'back', 'save', 'apple', 'like', 'bringing', 'gen']","['steve', 'jobs', 'came', 'back', 'apple']",0
"['somebody', 'home', 'ill', 'tend', 'mean', 'cant', 'make', 'everybody']",['anything'],2
"['generation', 'generation', 'michiko', 'kakutani', 'new', 'york', 'times', 'like', 'pearl', 'k', 'bell', 'wall', 'street', 'journal', 'find', 'surfeit', 'sweetly', 'obedient', 'docility', 'novel', 'say', 'parts', 'perilously', 'edge', 'sentimentality']","['complained', 'novel', 'lacked', 'emotions']",2
"['hey', 'problem', 'fine', 'policy']","['worries', 'good', 'policy']",0
"['mtro', 'subway', 'fastest', 'way', 'move', 'around', 'city', 'buses', 'capital', 'big', 'towns', 'best', 'taking', 'sights']","['taking', 'subway', 'good', 'way', 'experience', 'big', 'city', 'life']",2
"['sure', 'took', 'granted', 'made', 'mistake']","['simply', 'assumed', 'hed', 'made', 'mistake']",0
"['im', 'im', 'plano', 'school', 'system', 'living', 'richardson', 'real', 'dichotomy', 'terms', 'educational', 'economic', 'background', 'kids', 'going', 'attending', 'school']","['huge', 'amount', 'poor', 'students', 'wealthy']",1
"['okay', 'think', 'hang', 'dont', 'think', 'anything', 'else']","['thats', 'hang', 'right']",0
"['capitalized', 'natural', 'resources', 'using', 'salt', 'cure', 'fish', 'exported', 'home', 'country']","['used', 'salt', 'cure', 'fish', 'sent', 'back', 'home']",0
"['news', 'berates', 'computer', 'users', 'picking', 'obvious', 'easily', 'cracked', 'passwords', 'chastises', 'system', 'administrators', 'ignoring', 'basic', 'security', 'precautions']","['news', 'outlets', 'blame', 'users', 'system', 'administrators', 'security', 'breaches']",2
"['good', 'fortune', 'hes', 'proving', 'right']","['showing', 'correct']",0
"['bad', 'chose', 'use', 'mcintyre', 'instead']","['mcintyre', 'picked', 'used', 'closing', 'pitcher']",1
"['thing', 'cost', 'almost', 'prohibitive', 'bring', 'dealer']","['cheap', 'bring', 'dealer']",2
"['whole', 'life', 'policies', 'policies', 'provide', 'insurance', 'insureds', 'entire', 'life', 'proceeds', 'face', 'amount', 'paid', 'upon', 'death', 'insured']","['whole', 'life', 'policy', 'best', 'choice', 'someone', 'expects', 'live', 'age', '90']",1
"['2466', 'discusses', 'four', 'collections', 'include', 'certification', 'minimum', 'number', 'installed', 'operating', 'microwave', 'links', 'maintenance', 'computerreadable', 'database']","['2466', 'discusses', 'four', 'collections']",0
"['womens', 'provides', 'shelter', 'outreach', 'domesticviolence', 'victims', 'already', 'fulltime', 'attorney']","['fulltime', 'attorney', 'womens', 'already']",0
"['uh', 'high', 'humidity']","['air', 'increased', 'water', 'content']",0
"['need', 'look', 'implications', 'differing', 'roles', 'range', 'issues', 'ses', 'core', 'competencies', 'performance', 'standards', 'recruitment', 'sources', 'mobility', 'training', 'development', 'programs']","['completely', 'ignore', 'implications', 'roles', 'mobility']",2
"['yeah', 'yeah', 'yeah', 'well', 'thats', 'way', 'might', 'seem', 'outwardly', 'boy', 'theres', 'lots', 'going']","['another', 'layer', 'surface']",0
"['situation', 'value', 'mailer', 'improved', 'service', 'would', 'considered', 'along', 'cost', 'work']","['consideration', 'given', 'cost', 'work', 'case']",2
"['adequate', 'information', 'judging', 'generalizability']","['output', 'information', 'way', 'much', 'generalized']",1
"['political', 'cleansing', 'happen', 'impeachment', 'process', 'leaves', 'clinton', 'great', 'serious', 'burden']","['impeachment', 'process', 'involved', 'clintons', 'husband', 'well']",1
"['isnt', 'remember', 'ive', 'eight', 'years', 'remember', 'coming', 'work', 'used', 'live', 'wylie', 'could', 'see', 'downtown', 'dallas']","['two', 'years']",2
"['1980s', '1990s', 'us', 'able', 'invest', 'saved', 'attracting', 'financing', 'abroad']","['us', 'could', 'save', 'invested', '1980s', '90s']",2
"['credibility', 'vital', 'factor', 'jim', 'lehrer', 'indeed']","['everyone', 'would', 'believe', 'whatever', 'jim', 'lehrer', 'said']",1
"['someone', 'knew', 'going', 'world']","['knew', 'person', 'idea', 'going']",2
"['scorecard', 'included', 'measures', 'accuracy', 'speed', 'timeliness', 'unit', 'cost', 'customer', 'satisfaction', 'employee', 'development', 'satisfaction']","['accuracy', 'speed', 'first', 'measurements', 'listed', 'scorecard']",1
"['left', 'entrance', 'ramp', 'open', 'space', 'occupied', 'temple', 'athena', 'close', 'remains', 'pergamene', 'library']","['remains', 'visible', 'ramp']",2
"['keen', 'learn', 'israeli', 'folk', 'dancing', 'bicurei', 'haetim', 'cellar', 'heftman', 'street', 'teach']","['bicurei', 'haetim', 'cellar', 'place', 'learn', 'israeli', 'folk', 'dancing']",1
"['sherlock', 'holmes']","['sherlock', 'holmes']",0
"['though', 'two', 'cities', 'remained', 'unlinked', 'rail', 'change', 'quickly']","['two', 'cities', 'railway']",0
"['tourist', 'information', 'offices', 'helpful']","['tourist', 'information', 'offices', 'never', 'help']",2
"['detailed', 'implementation', 'plans', 'also', 'necessary', 'address', 'business', 'system', 'processes', 'resource', 'issues']","['detailed', 'implementation', 'plans', 'necessary', 'address', 'business', 'system', 'processes', 'resources']",0
"['first', 'injected', 'cannabinoids', 'may', 'mirror', 'effects', 'smoked', 'marijuana']","['smoking', 'marijuana', 'gets', 'people', 'higher', 'injected', 'cannabinoids']",1
"['data', 'would', 'presented', 'required', 'supplementary', 'stewardship', 'information', 'accompanying', 'consolidated', 'financial', 'statements', 'federal', 'government', 'individual', 'reports', 'component', 'units']","['data', 'would', 'included', 'individual', 'reports', 'concerning', 'constituent', 'units', 'federal', 'government']",2
"['boca', 'da', 'corrida', 'encumeada', 'moderate', '5', 'hours', 'views', 'curral', 'das', 'freiras', 'valley', 'ribeiro', 'poco']","['views', 'curral', 'da', 'freiras', 'valley', 'ribeiro', 'poco', 'chapter', '5']",1
"['interest', 'rate', 'price', 'charged', 'per', 'unit', 'money', 'borrowed', 'per', 'year', 'unit', 'time', 'usually', 'expressed', 'percentage']","['interest', 'rate', 'range', 'zero', 'fifteen', 'percent']",1
"['thats', 'hilarious', 'get', 'jack', 'thats', 'right', 'oh', 'thats', 'funny', 'story']","['enjoy', 'telling', 'story']",1
"['mr', 'erlenborn', 'attended', 'undergraduate', 'courses', 'university', 'notre', 'dame', 'indiana', 'university', 'university', 'illinois', 'loyala', 'university', 'chicago']","['mr', 'erlenborn', 'attended', 'classes', 'least', 'four', 'different', 'universities']",0
"['unlike', 'people', 'fortunate', 'enough', 'able', 'afford', 'attorneys', 'go', 'another', 'lawyer', 'clients', 'simply', 'lost', 'legal', 'system', 'can', 'not', 'get', 'access', 'us']","['clients', 'afford', 'attorneys', 'bouncing', 'lawyers']",2
"['finally', 'woman', 'opened', 'eyes', 'feebly']","['opened', 'eyes']",0
"['finest', 'huge', 'conicalroofed', 'tombpillar', 'absalom', 'king', 'davids', 'son']","['tombpillar', 'absalom', 'large', 'coneshaped', 'roof']",0
"['unless', 'mention', 'ritz', 'accidental', 'remark']","['mentioning', 'ritz', 'accidental']",0
"['four', 'sentences', 'always', 'insert', 'plagiarized', 'papers', 'throw', 'professor', 'track']","['four', 'sentences', 'force', 'professors', 'skim', 'paragraph', 'inadvertently', 'skip', 'plagiarized', 'information']",1
"['man', 'claims', 'robbed', 'en', 'route', 'stranded', 'without', 'money', 'plane', 'ticket', 'airport', 'somewhere', 'europe', 'middle', 'east']","['claimed', 'robbed', 'way', 'money', 'plane', 'ticket']",0
"['planned', '1820s', 'symbol', 'scottish', 'national', 'pride', 'designed', 'miniparthenon', 'deference', 'neoclassical', 'style', 'popular', 'time']","['designed', 'smaller', 'version', 'parthenon']",0
"['although', 'claims', 'data', 'provide', 'accurate', 'information', 'health', 'care', 'use', 'ensuring', 'adequate', 'followup', 'purposes', 'obtaining', 'information', 'patient', 'selfreport', 'important', 'many', 'people', 'report', 'alcoholrelated', 'events', 'insurance', 'companies']","['alcohol', 'related', 'events', 'contribute', 'disease', 'often', 'unreported', 'patients', 'insurance', 'companies']",0
"['could', 'please', 'speak', 'issue', 'regard', 'social', 'ramifications', 'gum', 'chewing', 'public']","['dont', 'opinion', 'gum', 'chewing', 'public', 'see']",2
"['h2a', 'worker', 'must', 'depart', 'country', 'subject', 'deportation', 'failing']","['h2a', 'worker', 'committed', 'crime']",1
"['researchers', 'found', 'expected', 'stresses', 'like', 'loss', 'check', 'mail', 'illness', 'loved', 'ones']","['stresses', 'affected', 'people', 'researchers', 'expected']",0
"['28', 'sta\xadtues', 'representing', 'kings', 'judah', 'israel', 'remodeled', 'drawings', 'violletleduc', 'original', 'ones', 'pulled', 'revolution', 'since', 'thought', 'kings', 'france']","['people', 'pulled', 'statues', 'executed']",1
"['cadaan', 'closed', 'door', 'behind', 'retied']","['cadaan', 'closed', 'door', 'entered', 'bound', 'shut', 'rope']",0
"['small', 'towns', 'like', 'louisian', 'lay', 'scattered', 'oil', 'fields', 'main', 'train', 'line', 'branched']","['main', 'train', 'line', 'went', 'small', 'towns']",0
"['think', 'people', 'um', 'um', 'lower', 'income', 'automatically', 'equate', 'lower', 'education']","['think', 'higher', 'income', 'equals', 'lower', 'education']",2
"['good', 'cheer']","['good', 'cheer', 'beer', 'time', 'near']",1
"['reviewing', 'history', 'important', 'make', 'crucial', 'distinctions']","['theres', 'point', 'analyzing', 'past']",2
"['black', 'river', '71', 'km', '44', 'miles', 'longest', 'jamaica', 'arterial', 'route', 'used', 'transport', 'rum', 'lumber', 'inland', 'plantations']","['black', 'river', 'received', 'name', 'water', 'stream', 'actually', 'black']",1
"['town', 'five', 'thousand', 'one', 'uh', 'local', 'fm', 'station', 'news', 'fed', 'cnn', 'uh', 'uh']","['town', 'radio', 'station', 'never', 'relied', 'national', 'news', 'sources']",2
"['certain', 'categories', 'control', 'activities', 'common', 'agencies']","['control', 'activities', 'safe', 'business', 'practices', 'universally', 'common', 'across', 'agencies']",1
"['100', 'judges', 'lawyers', 'dignitaries', 'present', 'gathering']","['two', 'people', 'showed', 'gathering']",2
"['forgotten', 'adrin']","['remembered', 'adrin', 'time']",2
"['words', 'paper', 'exhibited', 'alltootypical', 'journalistic', 'tic', 'exposing', 'potential', 'conflicts', 'interest', 'involving', 'politicians', 'ignoring', 'involving', 'journalists']","['paper', 'shows', 'journalists', 'exposing', 'potential', 'conflicts', 'interests', 'around', 'politicians', 'never', 'exposing', 'journalists']",0
"['final', 'reason', 'teen', 'renaissance', 'boomer', 'selfobsession']","['boomer', 'selfobsession', 'one', 'reasons', 'teen', 'renaissance']",0
"['death', 'columbus', '1505', 'jamaica', 'became', 'property', 'son', 'diego', 'dispatched', 'juan', 'de', 'esquivel', 'island', 'governor']","['jamaica', 'inherited', 'columbus', 'son', 'diego']",0
"['wont', 'killing', 'george', 'clooneys', 'character', 'er', 'like', 'jimmy', 'smits', 'nypd', 'instead', 'dr', 'doug', 'ross', 'forced', 'next', 'two', 'episodes', 'maverick', 'heartthrob', 'gives', 'unauthorized', 'painkiller', 'terminally', 'ill', 'boy', 'thursday', '10', 'pm']","['george', 'clooney', 'lose', 'job', 'producers', 'dont', 'think', 'act']",2
"['120', 'think', 'ought', 'go', 'police']","['go', 'police']",0
"['yeah', 'things', 'think', 'would', 'snap', 'know']","['would', 'survive', 'easily']",2
"['taken', 'number', 'steps', 'empower', 'invest', 'employees']","['steps', 'taken', 'put', 'programs', 'employees', 'place']",0
"['case', 'speech', 'fiss', 'appears', 'believe', 'reason', 'american', 'public', 'less', 'enlightened', 'would', 'wish', 'concerning', 'matters', 'feminism', 'rights', 'homosexuals', 'regulation', 'industry', 'people', 'denied', 'access', 'opinions', 'information', 'would', 'enlighten']","['people', 'america', 'well', 'informed', 'controversial', 'topics', 'according', 'fiss']",2
"['rustic', 'brasdavid', 'picnic', 'area', 'example', 'set', 'alongside', 'burbling', 'stream']","['picnic', 'area', 'near', 'stream']",2
"['uh', 'well', 'got', 'got', 'power', 'mower', 'itd', 'probably', 'take', 'lot', 'less', 'time', 'enjoy', 'feel', 'good', 'uh', 'feel', 'lot', 'better', 'power', 'mower', 'pull', 'tractor', 'dont', 'push', 'hard']","['would', 'mow', 'entire', 'yard', 'eight', 'minutes', 'using', 'power', 'mower']",1
"['umhum', 'yeah', 'saw', 'first', 'time', 'yesterday', 'evening']","['impressed', 'saw', 'yesterday']",1
['bauerstein'],"['alfred', 'inglethorp']",2
['lunch'],"['going', 'eat', 'lunch']",0
"['poll', 'hong', 'kong', 'residents', 'finds', 'sanguine', 'citys', 'future']","['poll', 'hong', 'kong', 'residents', 'finds', 'sanguine', 'citys', 'future']",1
"['well', 'meant', 'growing', 'mean', 'like', 'galveston']","['grew', 'galveston', 'grew', 'dallas']",1
"['constituted', 'unable', 'give', 'away', 'money', 'satisfaction', 'made', 'careful', 'inquiry', 'worthiness', 'cause']","['research', 'cause', 'carefully', 'donating', 'money']",0
"['know', 'like', 'theyre', 'know', 'feel', 'good', 'theyre', 'type', 'thing']","['see', 'way', 'whole', 'demeanor', 'changed']",1
['help'],"['im', 'helping']",2
"['traditional', 'opening', 'time', 'many', 'hotels', 'orthodox', 'easter', 'although', 'open', 'end', 'april']","['hotels', 'dont', 'open', 'halloween']",1
"['medical', 'surgical', 'expense', 'coverage']","['medical', 'surgical', 'expenses', 'fully', 'covered']",1
"['exactly', 'im', 'sitting', 'sofa', 'crossstitching', 'sudden', 'somebody', 'mans', 'got', 'hand', 'door', 'knob', 'like', 'uh', 'like', 'oh', 'dont', 'dont', 'like', 'guess', 'way', 'prevent', 'would', 'pass', 'city', 'ordinance', 'prevent']","['man', 'tried', 'enter', 'house', 'could', 'rob']",1
"['chinese', 'calendar', 'used', 'calculate', 'year', 'japans', 'foundation', 'counting', 'back', '1260', 'years', 'chinese', 'cosmological', 'cycle']","['japans', 'foundation', 'determined', 'using', 'chinese', 'calendar']",0
"['yeah', 'pay', 'fifteen', 'yeah', 'yes', 'know', 'yeah', 'pay', 'fifteen', 'dollars', 'month', 'sure', 'takes', 'long', 'time']","['pay', '100', 'month', 'take', 'long', 'time']",2
"['thus', 'net', 'scale', 'benefit', 'initially', 'positive', 'whether', 'adjust', 'wage', 'premium']","['initial', 'net', 'scale', 'benefits', 'negative', 'adjusted', 'wage', 'premium']",2
"['look', 'youve', 'business', 'come', 'asking', 'way']","['theres', 'reason', 'asking', 'like']",0
"['experts', 'point', 'age', 'alone', 'determines', 'chinese', 'antiques', 'value', 'dynasties', 'past', 'creative', 'ups', 'downs']","['collectors', 'base', 'price', 'chinese', 'antiques', 'age']",2
"['regulators', 'may', 'totally', 'supportive', 'comprehensive', 'business', 'model', 'concerned', 'information', 'would', 'based', 'lot', 'judgment', 'therefore', 'lack', 'precision', 'could', 'make', 'enforcement', 'reporting', 'standards', 'difficult']","['difficulty', 'reporting', 'standards', 'huge', 'obstacle', 'business', 'model']",0
"['first', 'get', 'basics', 'right', 'blocking', 'tackling', 'financial', 'reporting']","['basics', 'need', 'right', 'first']",0
"['still', 'faintly', 'victorian', 'atmosphere', 'dinard', 'preserved', 'best', 'assets', 'good', 'luxury', 'villas', 'long', 'paved', 'promenades', 'plush', 'hotels', 'elegant', 'boutiques', 'discothyques', 'casino', 'parks', 'gardens', 'olympicsize', 'public', 'swimming', 'pool']","['dinard', 'maintains', 'victorian', 'sensibility', 'also', 'including', 'luxury', 'elements']",0
"['along', 'step', 'certain', 'practices', 'proved', 'especially', 'important', 'success', 'efforts']","['practices', 'helpful']",2
"['theres', 'something']","['theres', 'absolutely', 'nothing']",2
"['easy', 'overdose', 'many', 'temples', 'palaces', 'museums', 'india']","['youll', 'find', 'scarcity', 'palaces', 'temples', 'across', 'india']",2
['simply'],['complicatedly'],0
"['yeah', 'favorite', 'team']","['favorite', 'team']",0
"['historically', 'renowned', 'freshwater', 'lake', 'known', 'sea', 'galilee', 'lake', 'kinneret', 'meaning', 'harp', 'shape', '58', 'km', '36', 'miles', 'circumference']","['sea', 'galilee', 'also', 'known', 'lake', 'kinneret', 'hundreds', 'years']",1
"['mean', 'dont', 'know', 'something', 'think', 'something', 'need']","['think', 'could', 'without', 'would', 'change', 'quality', 'life', 'greatly']",2
"['jon', 'walked', 'back', 'town', 'smithy']","['jon', 'continued', 'mountains']",2
"['leland', 'act', '1', 'simplify', 'household', 'definition']","['household', 'definition', 'simplified']",0
"['initial', 'demand', 'land', 'new', 'town', 'spectacular', 'fact', 'incentives', 'offered', 'entice', 'buyers']","['first', 'demand', 'land', 'new', 'town', 'high', 'property', 'sold', 'swiftly']",2
"['well', 'theyre', 'close', 'undefeated', 'undefeated', 'season', 'taste', 'wan', 'na', 'make', 'history', 'dont', 'think', 'theyre', 'gon', 'na', 'lack', 'motivation']","['unless', 'suffer', 'losses', 'theyll', 'remain', 'motivated']",1
"['utterly', 'mad']","['perfectly', 'normal']",2
"['saving', 'finance', 'domestic', 'investment', 'would', 'increase', 'net', 'foreign', 'investment', 'improve', 'current', 'account', 'balance']","['saving', 'could', 'increase', 'net', 'foreign', 'investment', 'substantially', 'quickly']",1
"['long', 'influenced', 'differing', 'traits', 'assimilated', 'various', 'customs', 'practices']","['different', 'traits', 'impact', 'cultures']",2
"['internet', 'miraculous', 'advertising', 'vehicle', 'gross', 'able', 'siphon', '400', 'per', 'person', 'total', 'ad', 'spending', '1000', 'per', 'familyor', 'persuade', 'advertisers', 'spend', 'additional', '400', 'reach', 'customers']","['internet', 'great', 'advertising', 'gross', 'would', 'pay', '400', 'per', 'person', 'per', 'ad', 'totalling', 'spending', '1000', 'per', 'family', 'persuade', 'adversisers', 'shell', 'extra', '400', 'reach', 'customer']",0
"['questions', 'may', 'need', 'tailored']","['questions', 'may', 'may', 'need', 'tailored']",0
"['read', 'tom', 'clancy']","['personally', 'liked', 'tom', 'clancy']",1
"['thats', 'girl', 'looked', 'passed', 'hand', 'across', 'forehead']","['girl', 'turned', 'away', 'kept', 'hands', 'still']",2
['melatonin'],"['ten', 'grams', 'melatonin']",1
"['diets', 'men', 'prime']","['diet', 'men', 'made', 'completely', 'meat']",1
"['yeah', 'matter', 'education', 'think']","['yeah', 'education', 'doesnt', 'matter']",2
"['three', 'days', 'went', 'dreary', 'inaction']","['days', 'passed', 'slowly']",1
"['every', 'august', 'young', 'women', 'convene', 'light', 'joss', 'sticks', 'even', 'climb', 'ninemeter', '30ft', 'rock', 'pray', 'good', 'husbands']","['women', 'find', 'husbands', 'climbing', 'rock', 'praying']",1
"['still', 'night']","['sun', 'hadnt', 'risen', 'yet', 'moon', 'shining', 'daringly', 'sky']",0
"['example', 'ovitzs', 'fiveyear', 'deal', 'worth', 'say', '100', 'million', 'compensation', 'committee', 'added', 'frontend', 'grant', 'free', 'disney', 'shares', 'worth', 'say', '50', 'million', 'thenassuming', 'ovitz', 'finished', 'fiveyear', 'contract', 'periodthe', 'cost', 'disney', 'would', '150', 'million']","['fiveyear', 'deal', 'worth', '100', 'million']",1
"['know', 'keep', 'couple', 'hundred', 'dollars', 'um', 'much', 'charged', 'isnt', 'bad', 'normal']",['money'],0
"['experts', 'say', 'theres', 'greater', 'chance', 'making', 'catch', 'cooler', 'days', 'spring', 'autumn', 'hours', 'sunset']","['experts', 'say', 'never', 'try', 'make', 'catch', 'sunset']",2
"['across', 'river', 'city', 'superb', 'views', 'rooms', 'contemporary', 'design']","['terrible', 'views', 'parking', 'lot']",2
"['beautiful', 'chateau', 'certainly', 'formidable', 'loire', 'valley', 'real', 'defensive', 'fortress', 'black', 'ramparts', 'still', 'forbidding', 'despite', 'towers', 'decapitated', 'orders', 'henri', 'iii']","['chateau', 'certainly', 'least', 'formidable', 'loire', 'valley']",2
"['two', 'aromatic', 'aniseed', 'drinks', 'also', 'produced', 'locally']","['aniseed', 'drinks', 'good', 'smell']",0
"['japan', 'mainichi', 'shimbun', 'criticized', 'new', 'liberal', 'democratic', 'party', 'leader', 'keizo', 'obuchi', 'devoid', 'fresh', 'ideas', 'reviving', 'japanese', 'economy']","['mainichi', 'shimbun', 'approved', 'keizo', 'obuchis', 'efforts', 'toward', 'improving', 'economy']",2
"['sandstone', 'granite', 'materials', 'used', 'build', 'baroque', 'church', 'bom', 'jesus', 'famous', 'casket', 'st', 'francis', 'xaviers', 'relics', 'mausoleum', 'right', 'altar']","['baroque', 'chuch', 'bom', 'jesus', 'famous', 'church', 'made', 'sandstone', 'granite']",0
"['test', 'organisms']","['trial', 'living', 'plants']",1
"['dont', 'take', 'heart', 'lad', 'said', 'kindly']","['trying', 'console', 'lad']",0
"['summary', 'deferred', 'maintenance', 'september', '30', '199z', 'millions', 'dollars']","['deferred', 'maintenance', 'millions', 'dollars', 'september', '30', '199z']",0
['opportunity'],"['opportunities', 'important', 'take', 'advantage']",1
"['uh', 'wasnt', 'jane', 'eyre', 'wrote', 'jane', 'eyre']","['jane', 'eyre']",0
"['shant', 'stop']",['stop'],2
"['environmental', 'protection', 'agency']","['agency', 'responsible', 'protection', 'environment', 'maintaining', 'national', 'parks']",1
"['gardens', 'used', 'belong', 'governors', 'mountain', 'lodge', 'building', 'demolished', 'japanese', 'occupation', 'hong', 'kong']","['gardens', 'belong', 'governors', 'mountain', 'lodge']",2
"['nothing', 'done', 'think', 'unless', 'stared', 'earnestly', 'long', 'dead', 'ashes', 'grate']","['isnt', 'anything', 'left']",0
"['think', 'soon', 'get', 'theyll', 'come']","['ill', 'help', 'get', 'away']",1
"['short', 'whole', 'new', 'costing', 'area', 'would', 'need', 'undertaken']","['nutshell', 'new', 'costing', 'area', 'would', 'need', 'undertaken']",0
"['youll', 'find', 'galleries', 'major', 'towns', 'smaller', 'villages']","['smaller', 'villages', 'also', 'operate', 'galleries', 'found']",0
"['found', 'plenty', 'water', 'pouring', 'mountains', 'timber', 'anyone', 'knew']","['water', 'found', 'pouring', 'mountains']",2
"['right', 'entrance', '16thcentury', 'sandal', 'bedesten', 'lovely', 'brick', 'vaults', 'supported', 'massive', 'stone', 'pillars']","['able', 'show', 'entrance', 'sandal', 'bedesten', 'construction']",2
"['progressives', 'last', 'noticing', 'best', 'argument', 'government', 'activism', 'works']","['progressives', 'arguing', 'government', 'activism', 'work', 'whatsoever']",2
"['one', 'bones']","['nothing', 'left', 'body']",0
