id,premise,hypothesis,lang_abv,language,label
604b64ca7f,i'm i'm Plano school system living Richardson real dichotomy terms educational economic background kids going attending school,huge amount poor students wealthy.,en,English,1
716eeeea2a,okay think hang think anything else,"That's it, hang up, right?",en,English,0
5de2aa81ed,"capitalized natural resources using salt cure fish, exported home country.",used salt cure fish sent back home.,en,English,0
f0e86993ca,"News berates computer users picking obvious, easily cracked passwords chastises system administrators ignoring basic security precautions.",News outlets blame users system administrators security breaches.,en,English,2
b3c705a914,"good fortune, he's proving right.",showing correct.,en,English,0
99b71d209e,bad chose use McIntyre instead.,McIntyre picked used closing pitcher.,en,English,1
8bbc9fd459,thing cost almost prohibitive bring dealer,cheap bring dealer.,en,English,2
3c2e8a360d,WHOLE LIFE POLICIES - Policies provide insurance insured's entire life proceeds (face amount) paid upon death insured.,whole life policy best choice someone expects live age 90.,en,English,1
7cc9bb38f9,"Women's Haven, provides shelter outreach domestic-violence victims, already full-time attorney.",full-time attorney Women's already.,en,English,0
a8bcd9ccf7,uh high humidity,Air increased water content.,en,English,0
80f6ac92a4,"need look implications differing roles range issues, SES core competencies, performance standards, recruitment sources, mobility, training development programs.",completely ignore implications roles mobility.,en,English,2
eb04f1a8f0,yeah yeah yeah well that's way might seem outwardly boy there's lots going,another layer surface.,en,English,0
e7ad6c38fc,"situation, value mailer improved service would considered along cost work.",consideration given cost work case.,en,English,2
ca2f6459bd,adequate information judging generalizability?,Output information way much generalized.,en,English,1
212fc2ad66,political cleansing happen impeachment process leaves Clinton great serious burden.,impeachment process involved Clinton's husband well.,en,English,1
d5249d1219,remember i've eight years remember coming work used live Wylie could see downtown Dallas,two years.,en,English,2
a38659ed31,"1980s 1990s, U.S. able invest saved attracting financing abroad.",US could save invested 1980's 90's.,en,English,2
a49ecd3734,"Credibility vital factor, Jim Lehrer does, indeed, it.",Everyone would believe whatever Jim Lehrer said.,en,English,1
952a08b1f3,someone knew going world now.,knew person idea going on.,en,English,2
ef98cc7a44,"scorecard included measures accuracy, speed timeliness, unit cost, customer satisfaction, employee development satisfaction.",Accuracy speed first measurements listed scorecard.,en,English,1
dd883e1f46,"left entrance ramp open space occupied Temple Athena, close remains Pergamene library.",remains visible ramp.,en,English,2
640c0172a6,"keen learn Israeli folk dancing, Bicurei Ha'etim Cellar Heftman Street teach you.",Bicurei Ha'etim Cellar place learn Israeli folk dancing.,en,English,1
c4e8713899,"Sherlock Holmes?""",Sherlock Holmes?,en,English,0
a14e13370f,"Though two cities remained unlinked rail, change quickly.",two cities railway them.,en,English,0
39d065817a,Tourist Information offices helpful.,Tourist Information offices never help.,en,English,2
101dc2c1bb,"detailed implementation plans also necessary address business system, processes, resource issues.","Detailed implementation plans necessary address business system, processes resources",en,English,0
0c338feb50,"First, injected cannabinoids may mirror effects smoked marijuana.",Smoking marijuana gets people higher injected cannabinoids.,en,English,1
617f1dc5f2,data would presented required supplementary stewardship information accompanying consolidated financial statements Federal Government individual reports component units.,data would included individual reports concerning constituent units federal government.,en,English,2
a7a2a9fc5e,"INTEREST RATE - price charged per unit money borrowed per year, unit time, usually expressed percentage.",Interest rate range zero fifteen percent.,en,English,1
e7bc15b1b9,that's hilarious get jack that's right oh that's funny story,enjoy telling story.,en,English,1
f50208a07e,"Mr. Erlenborn attended undergraduate courses University Notre Dame, Indiana University, University Illinois, Loyala University Chicago.",Mr. Erlenborn attended classes least four different universities.,en,English,0
00ddb7aea4,"unlike people fortunate enough able afford attorneys go another lawyer, clients simply lost legal system cannot get access us.",clients afford attorneys bouncing lawyers.,en,English,2
b0ee325483,Finally woman opened eyes feebly.,opened eyes.,en,English,0
a5484dd197,finest huge conical-roofed Tomb/Pillar Absalom (King David's son).,Tomb/Pillar Absalom large cone-shaped roof.,en,English,0
0393073e4a,"Unless mention Ritz accidental remark?""",mentioning Ritz accidental?,en,English,0
09b8ecb23f,four sentences always insert plagiarized papers throw professor track.,four sentences force professors skim paragraph inadvertently skip plagiarized information.,en,English,1
0477c22e6d,man claims robbed en route stranded without money plane ticket airport somewhere Europe Middle East.,claimed robbed way money plane ticket,en,English,0
3074381515,"planned 1820s symbol Scottish national pride designed mini-Parthenon, deference neoclassical style popular time.",designed smaller version Parthenon.,en,English,0
489847e94d,"Although claims data provide accurate information health care use, ensuring adequate follow-up purposes obtaining information patient self-report important many people report alcohol-related events insurance compa-nies.",Alcohol related events contribute disease often unreported patients insurance companies.,en,English,0
a235cb04e1,"Could please speak issue, regard social ramifications gum chewing public?","opinion gum chewing public, see.",en,English,2
772391afdf,H-2A worker must depart country subject deportation failing so.,H-2A worker committed crime.,en,English,1
e90c9dda0f,researchers found expected stresses like loss check mail illness loved ones.,stresses affected people researchers expected.,en,English,0
8c3a69f486,walk it).,stay are.,en,English,2
836766ea05,"28 sta?­tues representing kings Judah Israel remodeled drawings Viollet-le-Duc; original ones pulled Revolution, since thought kings France.",people pulled statues executed.,en,English,1
648feccb3d,Ca'daan closed door behind retied not.,"Ca'daan closed door entered, bound shut rope.",en,English,0
b23bdc1a30,Small towns like Louisian lay scattered Oil Fields; main train line branched them.,main train line went small towns.,en,English,0
b5ca4c01f3,think people um um lower income automatically equate lower education,think higher income equals lower education.,en,English,2
44bad2a664,"good cheer,","good cheer, beer time near.",en,English,1
5594f92e61,"reviewing history, important make crucial distinctions.",There's point analyzing past.,en,English,2
970707c7f5,"Black River, 71 km (44 miles), longest Jamaica; arterial route used transport rum lumber inland plantations.",Black River received name water stream actually black.,en,English,1
3fa01b03f8,town five thousand one uh local FM station news fed CNN uh uh,town radio station never relied national news sources.,en,English,2
0bc8210460,certain categories control activities common agencies.,Control activities safe business practices universally common across agencies.,en,English,1
d37166ccce,"100 judges, lawyers dignitaries present gathering.",two people showed gathering.,en,English,2
1575809c3c,forgotten Adrin.,remembered Adrin time.,en,English,2
db6d9923f3,"words, paper exhibited all-too-typical journalistic tic exposing potential conflicts interest involving politicians ignoring involving journalists.","paper shows, journalists exposing potential conflicts interests around politicians, never exposing journalists.",en,English,0
1e9caaf93c,final reason teen renaissance boomer self-obsession.,Boomer self-obsession one reasons teen renaissance.,en,English,0
9d597f75c9,"death Columbus 1505, Jamaica became property son Diego, dispatched Juan de Esquivel island Governor.","Jamaica inherited Columbus' son, Diego.",en,English,0
56d48aa27a,"killing George Clooney's character ER like Jimmy Smits NYPD . Instead, Dr. Doug Ross forced next two episodes maverick heartthrob gives unauthorized painkiller terminally ill boy (Thursday, 10 p.m.).",George Clooney lose job producers think act.,en,English,2
fd0d3579c4,"120 ""You think ought go police?""",go police?,en,English,0
e21db52eb1,yeah things think would snap know,would survive easily.,en,English,2
f9f20650aa,taken number steps empower invest employees.,steps taken put programs employees place.,en,English,0
85cc0bfc3d,"case speech, Fiss appears believe reason American public less enlightened would wish concerning matters feminism, rights homosexuals, regulation industry people denied access opinions information would enlighten them.","People America well informed controversial topics, according Fiss.",en,English,2
e1cfb4f6e6,"rustic Bras-David picnic area, example, set alongside burbling stream.",picnic area near stream.,en,English,2
13b2d2328b,uh well got got power mower it'd probably take lot less time enjoy feel good uh feel lot better power mower pull tractor push hard,would mow entire yard eight minutes using power mower.,en,English,1
dc5c4be838,um-hum yeah saw first time yesterday evening,impressed saw yesterday.,en,English,1
0cc7c4de1b,lunch?,going eat lunch?,en,English,0
840da92d5e,poll Hong Kong residents finds sanguine city's future.,poll Hong Kong residents finds sanguine city's future before.,en,English,1
e0bec36772,well meant growing mean like Galveston,grew Galveston grew Dallas.,en,English,1
fb3122d537,constituted unable give away money satisfaction made careful inquiry worthiness cause.,research cause carefully donating money it.,en,English,0
2eca16560f,know like they're know feel good they're type thing,see way whole demeanor changed.,en,English,1
a080e008b4,medical surgical expense coverage.,Medical surgical expenses fully covered,en,English,1
2d1499038c,exactly i'm sitting sofa cross-stitching sudden somebody man's got hand door knob like uh like oh like guess way prevent would pass city ordinance prevent,man tried enter house could rob it.,en,English,1
22cbc0822e,"Chinese calendar used calculate year Japan's foundation counting back 1,260 years Chinese cosmological cycle.",Japan's foundation determined using Chinese calendar.,en,English,0
1bdedd4aad,yeah pay fifteen yeah yes know yeah pay fifteen dollars month sure takes long time,"pay $100 month, take long time.",en,English,2
e33426bedc,"Thus, net scale benefit initially positive, whether adjust wage premium.",Initial net scale benefits negative adjusted wage premium.,en,English,2
906a6e0a56,"Look here, business come asking way.",There's reason asking like this.,en,English,0
d2c7168834,experts point age alone determines Chinese antique's value dynasties past creative ups downs.,Collectors base price chinese antiques age only.,en,English,2
7d508126f5,Small towns like Louisian lay scattered Oil Fields; main train line branched them.,one town oil fields.,en,English,2
88e6badfb0,"Regulators may totally supportive comprehensive business model concerned information would based lot judgment and, therefore, lack precision, could make enforcement reporting standards difficult.",Difficulty reporting standards huge obstacle business model.,en,English,0
d3494c9134,"First, get basics right, is, blocking tackling financial reporting.",basics need right first.,en,English,0
bd5170cc00,"still faintly Victorian atmosphere, Dinard preserved best assets good luxury villas long, paved promenades, plush hotels, elegant boutiques, discothyques, casino, parks gardens, Olympic-size public swimming pool.",Dinard maintains Victorian sensibility also including luxury elements.,en,English,0
7fc0868da7,"Along step, certain practices proved especially important success efforts.",practices helpful,en,English,2
e8c24ef38d,there's SOMETHING.,There's absolutely nothing there.,en,English,2
baf8d9d77e,"easy overdose many temples, palaces, museums India.",find scarcity palaces temples across India.,en,English,2
699cda3b5d,simply.,complicatedly.,en,English,0
a5051deb4b,yeah favorite team,favorite team.,en,English,0
e0620a1cf3,"historically renowned freshwater lake, known Sea Galilee Lake Kinneret (meaning harp, shape), 58 km (36 miles) circumference.",Sea Galilee also known Lake Kinneret hundreds years.,en,English,1
75d19cb0b4,mean know something think something need,"think could without it, would change quality life greatly.",en,English,2
aee859bf43,Jon walked back town smithy.,Jon continued mountains.,en,English,2
a044773c45,Leland Act (1) simplify household definition,household definition simplified.,en,English,0
47e70f26a2,data would presented required supplementary stewardship information accompanying consolidated financial statements Federal Government individual reports component units.,Individual reports focus component units include data.,en,English,0
44e1508411,"Initial demand land New Town spectacular; fact, incentives offered entice buyers.","first, demand land New Town high property sold swiftly.",en,English,2
090f0faa90,well they're close undefeated undefeated season taste wanna make history think they're gonna lack motivation,"Unless suffer losses, they'll remain motivated.",en,English,1
f810ce4215,"Thus, net scale benefit initially positive, whether adjust wage premium.",Net scale benefits become negative time.,en,English,1
d853d09c6b,utterly mad.,perfectly normal.,en,English,2
947c1b6778,saving finance domestic investment would increase net foreign investment improve current account balance.,Saving could increase net foreign investment substantially quickly.,en,English,1
188b16bfcc,"long influenced differing traits, assimilated various customs practices.",different traits impact cultures.,en,English,2
685d9362cc,"Internet miraculous advertising vehicle Gross able siphon $400 per person total ad spending $1,000 per family--or persuade advertisers spend additional $400 reach customers?","internet great advertising Gross would pay $400 per person per ad, totalling spending $1000 per family persuade adversisers shell extra $400 reach customer?",en,English,0
ea1980d04a,questions may need tailored,questions may may need tailored to.,en,English,0
dd5cf5be4a,read Tom Clancy,personally liked Tom Clancy.,en,English,1
712c13e109,"That's it. girl looked him, passed hand across forehead.",girl turned away kept hands still.,en,English,2
fd6995f7a4,Diets men prime,diet men made completely meat.,en,English,1
07acbc212e,yeah matter education think,Yeah education matter.,en,English,2
20280e311d,Three days went dreary inaction.,days passed slowly.,en,English,1
e83a8ebb40,Every August young women convene light joss sticks even climb nine-meter (30-ft) rock pray good husbands.,Women find husbands climbing rock praying.,en,English,1
9c540a00f9,still night.,"sun risen yet, moon shining daringly sky.",en,English,0
5fb34600a3,"example, Ovitz's five-year deal worth, say, $100 million, compensation committee added front-end grant free Disney shares worth, say, $50 million, then--assuming Ovitz finished five-year contract period--the cost Disney would $150 million.",five-year deal worth $100 million,en,English,1
4241535fa7,know keep couple hundred dollars um much charged bad normal,money,en,English,0
006bde060b,"long Assad lives, manage troubles keep agreement Israel.","long Assad die hurricane, still able take care trouble soldiers.",en,English,1
f78470a892,"experts say there's greater chance making catch cooler days spring autumn, hours sunset.",Experts say never try make catch sunset.,en,English,2
e186df7e87,"Across river city, superb views; rooms contemporary design.",terrible views parking lot.,en,English,2
722f180b8d,"beautiful, chateau certainly formidable Loire Valley, real defensive fortress, black ramparts still forbidding despite towers decapitated orders Henri III.",chateau certainly least formidable Loire Valley.,en,English,2
fb11f93c8c,Two aromatic aniseed drinks also produced locally.,aniseed drinks good smell them.,en,English,0
ebb9f61ef4,"Japan, Mainichi Shimbun criticized new Liberal Democratic Party leader Keizo Obuchi devoid fresh ideas reviving Japanese economy.",Mainichi Shimbun approved Keizo Obuchi's efforts toward improving economy.,en,English,2
c5a14e7487,"Sandstone granite materials used build Baroque church Bom Jesus, famous casket St. Francis Xavier's relics mausoleum right altar.",Baroque chuch Bom Jesus famous church made sandstone granite.,en,English,0
ba422fd361,TEST ORGANISMS,Trial Living Plants,en,English,1
60b28e56b7,"take heart, lad, said kindly.",trying console lad.,en,English,0
9200bffc21,"Summary Deferred Maintenance September 30, 199Z (in Millions Dollars):","Deferred Maintenance Millions Dollars, September 30, 199Z:",en,English,0
05a7cfb970,opportunity,Opportunities important take advantage of.,en,English,1
7eec599334,uh Jane Eyre wrote Jane Eyre,Jane Eyre not?,en,English,0
658d8835d7,"stop you.""",stop you.,en,English,2
6ec1777273,"gardens used belong governor's mountain lodge, building demolished Japanese occupation Hong Kong.",gardens belong governor's mountain lodge.,en,English,2
58f6abe2c3,"nothing done here, think, unless, stared earnestly long dead ashes grate.",anything left do.,en,English,0
a4910a7455,four sentences always insert plagiarized papers throw professor track.,"put four sentences paper, professors immediately know plagiarized.",en,English,2
5d88ae49e5,"short, whole new costing area would need undertaken.","nutshell, new costing area would need undertaken.",en,English,0
69ea5fdf98,find galleries major towns smaller villages.,Smaller villages also operate galleries found.,en,English,0
0cdf9729c4,"found plenty water pouring mountains, timber anyone knew with.",water found pouring mountains.,en,English,2
7c9e190576,"right entrance 16th-century Sandal Bedesten, lovely brick vaults supported massive stone pillars.",able show entrance Sandal Bedesten construction.,en,English,2
c0ca677f33,Progressives last noticing best argument government activism works.,Progressives arguing government activism work whatsoever.,en,English,2
ee0ae0cb5a,"one there, bones all.",Nothing left body.,en,English,0
cf9c1da840,"NIPA measure reflects government saving affects national saving available investment, unified budget measure common frame reference discussing federal fiscal policy issues.",NIPA measure reliable unified budget measure.,en,English,1
0463886779,uh could fill whole bunch uh holes things used used advertise buying wheat pennies um i'd give dollar roll two cents piece basically overpriced,used try sell wheat pennies.,en,English,2
0bebb69377,"Penrith Blencathra also Celtic names, established early period settlement.",Penrith Blencathra names go back ancient Rome.,en,English,2
fc78995df5,"necessary meeting restrictions imposed preceding sentence, Administrator shall reduce, pro rata, basic Phase II allowance allocations unit subject requirements section 414.",administrator shall reduce allowance unit.,en,English,0
fbd26839bc,"result, services may effective conducted emergency department environment.",services might effective they're done ED.,en,English,0
fc4c4c50ef,"Therefore, many leading finance organizations calculated compared percentages general indication well supported organization's business objectives.",Finance organization calculated data every organization.,en,English,1
14f4633e72,"Previously, request Republican Ranking Minority Member House Committee Government Operations, GAO reviewed activities President Clintonas Task Force Health Care Reform provided extensive listing working group participants drawn government outside organizations.",GAO reviewed activities President Clinton's Task Force.,en,English,0
df7d813655,"She, turn, worshipped subjects living god.","result, revered subjects living deity: one among many.",en,English,1
eba73bd7a3,air warm.,frigid air caught surprise.,en,English,2
a2717ae8c8,Among disadvantages degree innovation product differentiation might continue limited.,Limited innovation going advantage.,en,English,0
2921f15d1a,Treat bill Si.,Spend much like bill Si.,en,English,1
3708d880f1,think yeah think think that's real important,"""I truly believe that's really important us know.""",en,English,1
e0c834869d,important part U.S. diplomacy getting sovereign states work together voluntarily.,important states work together.,en,English,2
5bfb69f35b,rise British Empire India begun.,started rise German Empire India.,en,English,2
a5da185d23,uh guys actually road uh two thousand miles home file uh final exams send,men filed midterm exams home.,en,English,2
7d5ddf5f4a,Sarawak pottery ochre-colored bold geometric designs.,Sarawak pottery around long time.,en,English,1
926329d709,"ordered Better Sexual Techniques , Advanced Sexual Techniques , Making Sex Fun , Advanced Oral Sex Techniques (priced $11.",orders made offered free.,en,English,0
f979d320c6,Benchmarked U.S.,Benchmark America.,en,English,0
826e99eeca,truth?,tell truth?,en,English,1
ddc5c5c93c,like Tech known good engineering school maybe known computers,M's computer department well regarded.,en,English,2
a0613df78f,celebrity-obsessed magazine surpasses post-Oscar issue.,magazine interested celebrities.,en,English,2
95c7cec891,Tommy felt ascendancy less sure moment before.,Tommy getting less certain ascendancy.,en,English,0
cbe73b273c,"Whether drink beer alcohol not, trip Dublin complete without visit pubs miss experience.","drink, bother visiting pubs London.",en,English,2
d247609690,"although 60 Minutes producer played star (Pacino grandstands, point distraction), Bergman's story primal force.",producer played Harrison Ford.,en,English,2
c19680fafc,everybody's got colds everything cold one day hot next day,colds directly related temperature change.,en,English,0
2795b33ec0,know kind summer we're expecting year imagine going hot,"work weather station, know predictions weather summer.",en,English,2
12a478c197,"central section Tinos little interest, make way hills pretty village Pyrgos, famed school marble carving.",many tourists visit central section Tinos.,en,English,1
cabe20cde8,"Unless report restricted law regulation, auditors ensure copies made available public inspection.",report likely restricted law regulation ensured.,en,English,1
741dbae71f,"next year, expelled Rand security risk local police caught engaging lewd act public men's room near Muscle Beach.",expelled Rand commited crime,en,English,0
0a88884390,watch advertisement Times.,anticipating ad cigars newspaper.,en,English,1
49347a3bdc,"Unsurprisingly, golfing prohibitively expensive.",Golf cheap past time lots people it.,en,English,2
1bd822f1b6,final reason teen renaissance boomer self-obsession.,15 key reasons teen renaissance seeing.,en,English,1
2727ca4d90,uh well figured done garage Toyota dealer would looking probably three four hundred dollars,cost dealer's garage twice much paid.,en,English,1
78367023e3,"Part 2), Confidentiality Alcohol Drug Abuse Patient Records.",Drug alcohol rehab records kept confidential,en,English,0
8ebef1ecc0,"quite large Papal Crose commemorating Pope John Paul II's visit 1979, one million people gathered celebrate mass.",million people gathered celebrate mass Pope John Paul II visited 1979.,en,English,0
05389d7aae,well they're close undefeated undefeated season taste wanna make history think they're gonna lack motivation,"They're close winning season, issues motivation.",en,English,0
e0a29d673a,trying keep grass alive summer piece ground big expensive,cost keeping grass alive summer time.,en,English,2
b1d3e0d8fe,managed control much country nearly century Muslim leader Saladin (Salah-ad-Din) defeated 1187.,"controlled entire country, even Saladin failed attack 1187.",en,English,2
b5ce227c28,grandson Akbar chose Agra capital Delhi.,choice Agra Delhi came one better food does.,en,English,1
3328cdd6d6,information provided guide current date publication.,information guide up-to-date.,en,English,0
485d507d11,"anything, ultimate fighting safer less cruel America's blood sport.",Nothing dangerous ultimate fighting.,en,English,2
ed81affc50,Jon saw ride smoke.,rode towards Jon smoke.,en,English,2
bc499f98e6,someone else noticed said well guess that's true somewhat melodio us words know really funny,Someone else paid attention really funny.,en,English,0
197669f910,"six-year study, scientists fed dogs animals irradiated chicken found evidence increased cancer toxic effects.",Scientists gave animals irradiated chicken lived long rest them.,en,English,0
4009ddeb05,"Jesus born 4 b.c. , Joseph Mary escaped Herod's paranoia fleeing Egypt new-born infant.",Jesus' birth dated around 10 B.C.,en,English,2
72d1b5ce6c,"And, could result decline Postal Service volumes across--the--board?",Nothing affect Postal Service volumes across--the--board.,en,English,2
27dd4fa0c4,Folklore Ibiza,War history Ibiza,en,English,2
489ba2482b,Chatterbox queried Trudeau Dallas Morning News quote.,Trudeau queried Chatterbox quote.,en,English,0
f8f513200d,two challengers top dogs.,top dogs face two tough financial challenges.,en,English,1
edbabaa933,"ran toward us rather slowly, like people finishing run.",ran slowly tired working lot.,en,English,1
c461b2cf3c,i've getting kick lately,guess like me.,en,English,2
00330cdacf,"got keys still, you, Poirot? asked, reached door locked room.",keys pocket.,en,English,1
b164be9941,Puppet Shows.,Productions using puppets,en,English,0
1ff64bec4d,"Even today, Yanomamo men raid villages, kill men, abduct women procreative purposes.",Yanomamo eats food.,en,English,1
aadf35db6b,"housed Martello series towers, 12 (40 ft) high 2.5 (8 ft) thick, constructed along coast beginning 19th century guard invasion Napoleon.","number towers, built guard invasion Napoleon, built along coast 19th century.",en,English,0
af05290406,um i've visited Wyoming area i'm sure exactly Dances Wolves filmed,I've visited area spring.,en,English,1
cbccef28bf,"13 Executive Effectively Implementing Government Performance Results Act ( GAO/GGD-96-118, June 1996).",executives implement government performance results act,en,English,2
19874af5f5,Information Computer Attacks Department Defense Pose Increasing Risks,computer attacks Department Defense powerful handle.,en,English,1
0979f1c535,Daniel took upon explain things.,Daniel explained happening.,en,English,0
5f00c1e411,"Ile Saint-Louis enchanted self-contained island gracious living, long popular affluent gentry celebrities Paris.",Ile Saint-Louis adored poor Paris.,en,English,2
844346dd31,Kentucky officials say virtual epidemic abusive relationships state.,Kentucky marriages tend healthiest.,en,English,2
0c3c0175ac,uh takes much time away kids,Takes away kids important you.,en,English,1
e6d717a178,"Even kind traveler likes improvise adventurous, turn nose tourist offices.",Tourist officers good place visit even adventurous tourist.,en,English,0
a5fcf2ec8f,walked street followed.,followed walked.,en,English,0
cdfcd41797,"Steps initiated allow program board membership reflect clienteligible community include representatives funding community, corporations partners.",fair representation board members program.,en,English,2
b6e01c1a07,"Also, Holy Family said sheltered return Egypt.",Holy family spent total three days here.,en,English,1
5fdb4fdc7f,Complacency came easily couple weeks without capture.,got complacent getting captured weeks.,en,English,0
eb1b46244d,sight saw Adrin's hands cocking back pair dragon-hammered pistols.,spotted Adrin preparing fire pistols.,en,English,1
32cb965cb9,"little see here, ruined Essene monastery Qumran itself.","visitors skip city, stay night passing through.",en,English,1
3a8bd57d8a,Enthusiasm Disney's Broadway production Lion King dwindles.,Audiences Lion King broadway still turning record numbers.,en,English,2
07bf51cd35,Fixing current levels damage would impossible.,damage could never fixed artisan.,en,English,1
6f014d5342,Allow time Thirasia explore Santorini's smaller sibling islands.,Allow time Thirasia visit famous Guy Fieri restaurant.,en,English,2
4bb17fa71d,forgotten Adrin.,forgotten Adrin going join them.,en,English,1
4a9ee8775d,entire city surrounded open countryside scattering small villages.,whole countryside scattered small villages.,en,English,0
52f3522b53,couple years ago thinking moving Massachusetts uh boy i'm glad,never considered moving Massachusetts.,en,English,2
d3e001ddaa,That's guarantees people keep buying tickets long odds favor.,"People continually purchase tickets, long good chance winning.",en,English,0
ef4a55111e,find number Mary's personal effects display.,"display, also find John's personal effects.",en,English,1
34e74cb8b4,football powerhouse guess,He's terrible football there.,en,English,2
d7b1ea7e56,yeah yeah come positive regardless uh detected uh we're required go attend uh counseling session,still three weeks counseling left even everything seems positive.,en,English,1
253441c9c4,yeah mean Escort even head gasket went mean would start first time every time,"head gasket went out, Escort stopped working.",en,English,2
7c23262fd6,"Jon looked him, Barnam puffed chest.",Barnam puffed chest Jon looked him.,en,English,0
f6ab4e677c,"Possibly, strychnine fairly rapid drug action.",Strychnine drug works quickly.,en,English,0
9bca269edb,main attraction Kom Ombo vibrant color still found columns Hypostyle Hall.,"Hypostyle Hall main sight see Kom Ombo, featuring striking colors preserved chemical agent.",en,English,1
4b870bc202,yeah TI people yeah figured area know,"No, figured areas.",en,English,2
841cb6237c,Scutari traditionally associated name Florence Nightingale.,Scutari linked Florence Nightingale posthumously.,en,English,1
19aa7f50e4,Castlerigg near Keswick best example.,"best example would Castlerigg, near Keswick.",en,English,0
89d11334a3,idea Clinton's approval represents something new immoral country historically shortsighted.,shortsighted think Clinton's approval rating sign nation's immorality.,en,English,0
87fe8884c3,recent attraction pyramid complex small museum housing remains solar barque (a cedar longboat) found 1954.,huge museum houses 100 longboats discovered 1888.,en,English,2
